"uri","movie","year","star"
"http://dbpedia.org/resource/It_Happened_One_Night","It Happened One Night","1934 films","Claudette Colbert"
"http://dbpedia.org/resource/K-19:_The_Widowmaker","K-19: The Widowmaker","2002 films","Liam Neeson"
"http://dbpedia.org/resource/In_the_Bedroom","In the Bedroom","2001 films","Sissy Spacek"
"http://dbpedia.org/resource/In_Old_Arizona","In Old Arizona","1928 films","Edmund Lowe"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Bill Pullman"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","Alison Doody"
"http://dbpedia.org/resource/In_Old_Arizona","In Old Arizona","1928 films","Warner Baxter"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Will Smith"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Margaret Colin"
"http://dbpedia.org/resource/In_Old_Arizona","In Old Arizona","1928 films","Dorothy Burgess"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","Julian Glover"
"http://dbpedia.org/resource/In_the_Bedroom","In the Bedroom","2001 films","Nick Stahl"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","James Rebhorn"
"http://dbpedia.org/resource/K-19:_The_Widowmaker","K-19: The Widowmaker","2002 films","Peter Sarsgaard"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Harvey Fierstein"
"http://dbpedia.org/resource/In_the_Bedroom","In the Bedroom","2001 films","Marisa Tomei"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","1989 films","John Rhys-Davies"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Judd Hirsch"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day (1996 film)","1996 films","Mary McDonnell"
"http://dbpedia.org/resource/Miller's_Crossing","Miller's Crossing","1990 films","Albert Finney"
"http://dbpedia.org/resource/Midnight_Cowboy","Midnight Cowboy","1969 films","Dustin Hoffman"
"http://dbpedia.org/resource/Léon:_The_Professional","Léon: The Professional","1994 films","Jean Reno"
"http://dbpedia.org/resource/Léon:_The_Professional","Léon: The Professional","1994 films","Natalie Portman"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","June Foray"
"http://dbpedia.org/resource/Leaving_Las_Vegas","Leaving Las Vegas","1995 films","Elisabeth Shue"
"http://dbpedia.org/resource/Mars_Needs_Women","Mars Needs Women","1967 films","Tommy Kirk"
"http://dbpedia.org/resource/Midnight_Cowboy","Midnight Cowboy","1969 films","Jon Voight"
"http://dbpedia.org/resource/Leaving_Las_Vegas","Leaving Las Vegas","1995 films","Nicolas Cage"
"http://dbpedia.org/resource/Miller's_Crossing","Miller's Crossing","1990 films","Marcia Gay Harden"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","Miguel Ferrer"
"http://dbpedia.org/resource/Metropolis_(1927_film)","Metropolis (1927 film)","1927 films","Gustav Fröhlich"
"http://dbpedia.org/resource/Miller's_Crossing","Miller's Crossing","1990 films","J. E. Freeman"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","Pat Morita"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","2001 films","Noah Taylor"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","Eddie Murphy"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","James Hong"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","2001 films","Chris Barrie"
"http://dbpedia.org/resource/Léon:_The_Professional","Léon: The Professional","1994 films","Danny Aiello"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","George Takei"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan (1998 film)","1998 films","Ming-Na Wen"
"http://dbpedia.org/resource/Mars_Needs_Women","Mars Needs Women","1967 films","Yvonne Craig"
"http://dbpedia.org/resource/Metropolis_(1927_film)","Metropolis (1927 film)","1927 films","Brigitte Helm"
"http://dbpedia.org/resource/Miller's_Crossing","Miller's Crossing","1990 films","John Turturro"
"http://dbpedia.org/resource/Mars_Needs_Women","Mars Needs Women","1967 films","Patrick Cranshaw"
