"uri","name"
"http://dbpedia.org/resource/Thomas_Ulen","Thomas Ulen"
"http://dbpedia.org/resource/Gretchen_Daily","Gretchen Daily"
"http://dbpedia.org/resource/Joseph_Jimenez","Joseph Jimenez"
"http://dbpedia.org/resource/Mike_Krieger","Mike Krieger"
"http://dbpedia.org/resource/Gladys_Anderson_Emerson","Gladys Anderson Emerson"
"http://dbpedia.org/resource/Joseph_S._B._Mitchell","Joseph S. B. Mitchell"
"http://dbpedia.org/resource/Nicholas_J._Hoff","Nicholas J. Hoff"
"http://dbpedia.org/resource/Adrian_Mihai_Ionescu","Adrian Mihai Ionescu"
"http://dbpedia.org/resource/Carolina_Isakson_Proctor","Carolina Isakson Proctor"
"http://dbpedia.org/resource/Dominique_Hoppe","Dominique Hoppe"
"http://dbpedia.org/resource/Fred_W._Turek","Fred W. Turek"
"http://dbpedia.org/resource/Matthew_Kleban","Matthew Kleban"
"http://dbpedia.org/resource/Robert_E._Swain","Robert E. Swain"
"http://dbpedia.org/resource/Ryoo_Ryong","Ryoo Ryong"
"http://dbpedia.org/resource/Weldon_B._Gibson","Weldon B. Gibson"
"http://dbpedia.org/resource/Bob_Crowell","Bob Crowell"
"http://dbpedia.org/resource/Emanuel_Pleitez","Emanuel Pleitez"
"http://dbpedia.org/resource/Homer_Baird_Kidwell","Homer Baird Kidwell"
"http://dbpedia.org/resource/Jed_Rose","Jed Rose"
"http://dbpedia.org/resource/Linus_Liang","Linus Liang"
"http://dbpedia.org/resource/Nicholas_Yang","Nicholas Yang"
"http://dbpedia.org/resource/Nicolas_Sadirac","Nicolas Sadirac"
"http://dbpedia.org/resource/Stephen_Quake","Stephen Quake"
"http://dbpedia.org/resource/Tania_A._Baker","Tania A. Baker"
"http://dbpedia.org/resource/Şerif_Mardin","Şerif Mardin"
"http://dbpedia.org/resource/Brian_Elliot","Brian Elliot"
"http://dbpedia.org/resource/Chiang_Wei-ling","Chiang Wei-ling"
"http://dbpedia.org/resource/Clara_Shih","Clara Shih"
"http://dbpedia.org/resource/Gerold_C._Dunn","Gerold C. Dunn"
"http://dbpedia.org/resource/John_J._Fisher","John J. Fisher"
